Date : 2020-03-18 12:51:23
Directory : e:\Develope\Vscode\Microsoft VS Code\Demo\毕设\green_shop_node\src
Total : 82 files,  5041 codes, 1205 comments, 534 blanks, all 6780 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| services\goods.js                   | JavaScript |         84 |         24 |          8 |        116 |
| services\order.js                   | JavaScript |        142 |         44 |         13 |        199 |
| services\socket.js                  | JavaScript |         74 |         19 |          6 |         99 |
| services\supplier.js                | JavaScript |         70 |         24 |          8 |        102 |
| services\user.js                    | JavaScript |        187 |         67 |         14 |        268 |
| utils\cryp.js                       | JavaScript |         11 |          7 |          5 |         23 |
| utils\env.js                        | JavaScript |          9 |          3 |          3 |         15 |
| utils\queue.js                      | JavaScript |         32 |         21 |          4 |         57 |
| utils\token.js                      | JavaScript |          9 |          4 |          4 |         17 |
| utils\util.js                       | JavaScript |         44 |         27 |          7 |         78 |
| validators\good.js                  | JavaScript |         31 |          4 |          3 |         38 |
| validators\user.js                  | JavaScript |        104 |         28 |          9 |        141 |
| views\404.html                      | HTML       |         12 |          1 |          1 |         14 |
| views\client.html                   | HTML       |         84 |          0 |          1 |         85 |
| views\error.html                    | HTML       |         12 |          1 |          1 |         14 |
| views\error.js                      | JavaScript |         14 |          5 |          4 |         23 |
| views\service.html                  | HTML       |        107 |          0 |          2 |        109 |
| views\socket.css                    | CSS        |         43 |          0 |          1 |         44 |
| views\socket.io.js                  | JavaScript |          3 |          6 |          0 |          9 |
| views\supplier.html                 | HTML       |        117 |          0 |          2 |        119 |
| Total                               |            |      5,041 |      1,205 |        534 |      6,780 |
+-------------------------------------+------------+------------+------------+------------+------------+
